============= Kyber-I
[0m[1;31m dim = 1004, dvol = 3882.68 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS)
beta_start= 79, gap = 1, J = 5, J_gap = 1, cost_model = 1, max_loop = 5, threads = 1, G_prec = 1.000000e-03,  slope_prec = 0.000000e+00,  progressive_sieve = 1, average_case, Min G2 Strategy. 

 index:      255, (beta,j): ( 189,   1) --> ( 699,   1), goal index:     3057, cost =
 index:      256, (beta,j): ( 190,   5) --> ( 699,   1), goal index:     3066, cost =
 index:      257, (beta,j): ( 190,   1) --> ( 699,   1), goal index:     3075, cost =
 index:      258, (beta,j): ( 191,   5) --> ( 699,   1), goal index:     3085, cost =
 index:      259, (beta,j): ( 191,   1) --> ( 699,   1), goal index:     3090, cost =
 index:      260, (beta,j): ( 192,   5) --> ( 699,   1), goal index:     3099, cost =
 index:      261, (beta,j): ( 192,   1) --> ( 699,   1), goal index:     3112, cost =
 index:      262, (beta,j): ( 193,   5) --> ( 699,   1), goal index:     3121, cost =
 index:      263, (beta,j): ( 193,   1) --> ( 699,   1), goal index:     3125, cost =
 index:      264, (beta,j): ( 194,   5) --> ( 699,   1), goal index:     3130, cost =
 index:      265, (beta,j): ( 194,   1) --> ( 699,   1), goal index:     3136, cost =
 index:      266, (beta,j): ( 195,   5) --> ( 699,   1), goal index:     3136, cost =
 index:      267, (beta,j): ( 195,   1) --> ( 699,   1), goal index:     3137, cost =
 index:      268, (beta,j): ( 196,   5) --> ( 699,   1), goal index:     3139, cost =
 index:      269, (beta,j): ( 196,   1) --> ( 699,   1), goal index:     3145, cost =
 index:      270, (beta,j): ( 197,   5) --> ( 699,   1), goal index:     3142, cost =
 index:      271, (beta,j): ( 197,   1) --> ( 699,   1), goal index:     3148, cost =
 index:      272, (beta,j): ( 198,   5) --> ( 699,   1), goal index:     3155, cost =
 index:      273, (beta,j): ( 198,   1) --> ( 699,   1), goal index:     3164, cost =
 index:      274, (beta,j): ( 199,   5) --> ( 699,   1), goal index:     3172, cost =
 index:      275, (beta,j): ( 199,   1) --> ( 699,   1), goal index:     3175, cost =
 index:      276, (beta,j): ( 200,   5) --> ( 699,   1), goal index:     3184, cost =
 index:      277, (beta,j): ( 200,   1) --> ( 699,   1), goal index:     3197, cost =
 index:      278, (beta,j): ( 201,   5) --> ( 699,   1), goal index:     3203, cost =
 index:      279, (beta,j): ( 201,   1) --> ( 699,   1), goal index:     3205, cost =
 index:      280, (beta,j): ( 202,   5) --> ( 699,   1), goal index:     3215, cost =
 index:      281, (beta,j): ( 202,   1) --> ( 699,   1), goal index:     3224, cost =
 index:      282, (beta,j): ( 203,   5) --> ( 699,   1), goal index:     3231, cost =
 index:      283, (beta,j): ( 203,   1) --> ( 699,   1), goal index:     3237, cost =
 index:      284, (beta,j): ( 204,   5) --> ( 699,   1), goal index:     3250, cost =
 index:      285, (beta,j): ( 204,   1) --> ( 699,   1), goal index:     3254, cost =
 index:      286, (beta,j): ( 205,   5) --> ( 699,   1), goal index:     3264, cost =
 index:      287, (beta,j): ( 205,   1) --> ( 699,   1), goal index:     3274, cost =
 index:      288, (beta,j): ( 206,   5) --> ( 699,   1), goal index:     3279, cost =
 index:      289, (beta,j): ( 206,   1) --> ( 699,   1), goal index:     3287, cost =
 index:      290, (beta,j): ( 207,   5) --> ( 699,   1), goal index:     3296, cost =
 index:      291, (beta,j): ( 207,   1) --> ( 699,   1), goal index:     3295, cost =
 index:      292, (beta,j): ( 208,   5) --> ( 699,   1), goal index:     3307, cost =
 index:      293, (beta,j): ( 208,   1) --> ( 699,   1), goal index:     3309, cost =
 index:      294, (beta,j): ( 209,   5) --> ( 699,   1), goal index:     3312, cost =
 index:      295, (beta,j): ( 209,   1) --> ( 699,   1), goal index:     3321, cost =
 index:      296, (beta,j): ( 210,   5) --> ( 699,   1), goal index:     3331, cost =
 index:      297, (beta,j): ( 210,   1) --> ( 699,   1), goal index:     3340, cost =
 index:      298, (beta,j): ( 211,   5) --> ( 699,   1), goal index:     3345, cost =
 index:      299, (beta,j): ( 211,   1) --> ( 699,   1), goal index:     3356, cost =
 index:      300, (beta,j): ( 212,   5) --> ( 699,   1), goal index:     3362, cost =
 index:      301, (beta,j): ( 212,   1) --> ( 699,   1), goal index:     3371, cost =
 index:      302, (beta,j): ( 213,   5) --> ( 699,   1), goal index:     3381, cost =
 index:      303, (beta,j): ( 213,   1) --> ( 699,   1), goal index:     3386, cost =
 index:      304, (beta,j): ( 214,   5) --> ( 699,   1), goal index:     3395, cost =
 index:      305, (beta,j): ( 214,   1) --> ( 699,   1), goal index:     3396, cost =
 index:      306, (beta,j): ( 215,   5) --> ( 699,   1), goal index:     3402, cost =
 index:      307, (beta,j): ( 215,   1) --> ( 699,   1), goal index:     3409, cost =
 index:      308, (beta,j): ( 216,   5) --> ( 699,   1), goal index:     3420, cost =
 index:      309, (beta,j): ( 216,   1) --> ( 699,   1), goal index:     3426, cost =
 index:      310, (beta,j): ( 217,   5) --> ( 699,   1), goal index:     3428, cost =
 index:      311, (beta,j): ( 217,   1) --> ( 699,   1), goal index:     3431, cost =
 index:      312, (beta,j): ( 218,   5) --> ( 699,   1), goal index:     3435, cost =
 index:      313, (beta,j): ( 218,   1) --> ( 699,   1), goal index:     3438, cost =
